,Team,LambdaAtt,LambdaDef,HomeFactor
0,Aves,0.5661861074705111,1.6041939711664481,1.0
1,Belenenses,0.9293871633062589,1.1885301063547609,0.9285714285714286
2,Benfica,1.3219590362792295,0.44378267211227995,1.1515151515151516
3,Boavista,1.3343456200965196,1.8723070335382757,1.153846153846154
4,Famalicao,2.4964625152494238,1.6327007278509171,1.1199999999999999
5,Gil Vicente,1.158169496122196,2.571284656490244,1.8571428571428572
6,Guimaraes,2.297422753742893,0.738182505213101,1.0384615384615385
7,Maritimo,0.4906569564542945,1.352963207849873,2.4
8,Moreirense,1.6574808165806934,1.219845092955849,1.2105263157894737
9,Pacos Ferreira,0.5709489466469849,1.728288693624675,0.7142857142857142
10,Portimonense,1.1804044367349837,1.0119805634786514,1.5
11,Porto,2.1696980628795934,0.6064633257743011,1.4666666666666668
12,Rio Ave,0.8311091507407273,1.4369102670464362,1.2857142857142856
13,Santa Clara,1.0496443970859386,1.6673282414566477,1.0
14,Setubal,0.6369593709043251,1.0144167758846658,1.2499999999999998
15,Sp Braga,1.3763183429607295,1.096753820890334,1.103448275862069
16,Sp Lisbon,2.995586904599352,0.8479959442666638,1.0416666666666667
17,Tondela,1.120753326460063,1.9575438258719062,0.6666666666666667
